epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8224,1.96762,3.56767,2.08497,0.00858,0.58772,0.15929,0.04802,2.46058,3.2118,2.41082,0.000325926,0.000325926,0.000325926
2,39.2732,1.68396,2.50434,1.83496,0.50282,0.38736,0.37529,0.1645,1.97094,2.42929,2.23731,0.000652733,0.000652733,0.000652733
3,57.2947,1.65423,2.29366,1.79722,0.4177,0.26972,0.23138,0.07589,2.46143,2.86608,2.64296,0.000972939,0.000972939,0.000972939
4,75.7402,1.65598,2.19474,1.81237,0.10568,0.25413,0.1234,0.04398,2.24962,6.59076,2.49409,0.0009703,0.0009703,0.0009703
5,93.7117,1.66925,2.07574,1.81003,0.44653,0.32178,0.33413,0.13478,2.1348,2.66722,2.33733,0.0009604,0.0009604,0.0009604
6,112.576,1.6223,1.96745,1.76786,0.45415,0.42661,0.38167,0.15357,2.10894,2.47413,2.20959,0.0009505,0.0009505,0.0009505
7,130.41,1.59496,1.87118,1.74121,0.34852,0.4549,0.39942,0.15239,2.02232,2.40866,2.1344,0.0009406,0.0009406,0.0009406
8,149.003,1.59379,1.81098,1.72303,0.54197,0.46121,0.45771,0.20251,1.87196,2.21739,2.02817,0.0009307,0.0009307,0.0009307
9,167.285,1.55116,1.75739,1.71197,0.51011,0.5287,0.4448,0.18496,1.89816,2.08013,2.03992,0.0009208,0.0009208,0.0009208
10,185.487,1.55802,1.74232,1.71739,0.5146,0.46704,0.4704,0.20986,1.86151,1.7956,1.95068,0.0009109,0.0009109,0.0009109
11,203.842,1.52762,1.71206,1.69725,0.59239,0.38107,0.37048,0.13984,2.16451,1.93395,2.1488,0.000901,0.000901,0.000901
12,222.432,1.51822,1.65074,1.66634,0.50596,0.5985,0.58983,0.26982,1.79064,1.72661,1.96632,0.0008911,0.0008911,0.0008911
13,240.679,1.51418,1.65188,1.66552,0.75574,0.46701,0.56558,0.25718,1.76355,1.68109,1.98881,0.0008812,0.0008812,0.0008812
14,259.296,1.49998,1.61931,1.66332,0.57258,0.53449,0.61719,0.29092,1.73815,1.69017,1.90196,0.0008713,0.0008713,0.0008713
15,277.863,1.51189,1.60875,1.6703,0.45497,0.60653,0.53544,0.21852,1.89324,1.77665,1.9915,0.0008614,0.0008614,0.0008614
16,296.09,1.49154,1.57776,1.66016,0.52145,0.49655,0.56934,0.26371,1.7967,1.75394,1.93066,0.0008515,0.0008515,0.0008515
17,314.49,1.47453,1.55939,1.65888,0.52404,0.56884,0.57481,0.27787,1.75651,1.66076,1.91332,0.0008416,0.0008416,0.0008416
18,332.75,1.46074,1.54162,1.64224,0.61533,0.53556,0.57272,0.26355,1.74857,1.57865,1.88245,0.0008317,0.0008317,0.0008317
19,351.168,1.48915,1.55872,1.65243,0.50977,0.653,0.61333,0.29482,1.70869,1.55635,1.92756,0.0008218,0.0008218,0.0008218
20,369.903,1.46002,1.52097,1.63375,0.5245,0.619,0.61784,0.27475,1.79431,1.59007,1.92485,0.0008119,0.0008119,0.0008119
21,388.238,1.43866,1.51947,1.62469,0.79114,0.52152,0.63744,0.29402,1.77612,1.61573,1.93681,0.000802,0.000802,0.000802
22,406.628,1.45264,1.50845,1.61768,0.5769,0.61429,0.61382,0.30181,1.70986,1.52358,1.88509,0.0007921,0.0007921,0.0007921
23,424.951,1.43854,1.47129,1.5958,0.48246,0.61842,0.58278,0.28193,1.72828,1.61024,1.88529,0.0007822,0.0007822,0.0007822
24,443.544,1.4293,1.47484,1.62063,0.5731,0.61985,0.63065,0.30859,1.69495,1.49364,1.87547,0.0007723,0.0007723,0.0007723
25,461.794,1.44144,1.4597,1.61395,0.63176,0.59086,0.63744,0.29967,1.80345,1.55519,1.96978,0.0007624,0.0007624,0.0007624
26,480.506,1.40898,1.43229,1.59432,0.56979,0.60846,0.57556,0.27975,1.86518,1.57892,1.94107,0.0007525,0.0007525,0.0007525
27,498.469,1.41721,1.44031,1.59876,0.5912,0.60982,0.62559,0.3052,1.74055,1.44756,1.89044,0.0007426,0.0007426,0.0007426
28,516.892,1.40354,1.4123,1.58453,0.67071,0.56496,0.62275,0.30571,1.69934,1.59935,1.86118,0.0007327,0.0007327,0.0007327
29,534.79,1.39652,1.39457,1.58043,0.5898,0.62051,0.64578,0.31036,1.67214,1.5023,1.85517,0.0007228,0.0007228,0.0007228
30,553.559,1.43216,1.39961,1.59942,0.57935,0.64311,0.63425,0.30768,1.73516,1.58521,1.94689,0.0007129,0.0007129,0.0007129
31,571.889,1.39777,1.37079,1.56925,0.61517,0.64582,0.65413,0.32116,1.67567,1.46629,1.87143,0.000703,0.000703,0.000703
32,590.632,1.40506,1.35708,1.57786,0.6745,0.58113,0.62159,0.30817,1.66343,1.54388,1.84456,0.0006931,0.0006931,0.0006931
33,609.352,1.39505,1.38365,1.59113,0.58417,0.66624,0.65342,0.33936,1.62749,1.42057,1.81352,0.0006832,0.0006832,0.0006832
34,628.376,1.37795,1.38002,1.55531,0.5464,0.62331,0.63352,0.31122,1.7198,1.5303,1.87738,0.0006733,0.0006733,0.0006733
35,646.749,1.38124,1.35526,1.56544,0.59525,0.60028,0.62131,0.29354,1.82665,1.54418,1.90847,0.0006634,0.0006634,0.0006634
36,665.137,1.3522,1.3598,1.54706,0.62395,0.68746,0.69185,0.35947,1.66195,1.35883,1.79447,0.0006535,0.0006535,0.0006535
37,683.465,1.37043,1.35225,1.57158,0.63691,0.64839,0.67954,0.34259,1.66717,1.37321,1.81344,0.0006436,0.0006436,0.0006436
38,702.027,1.3556,1.32292,1.54977,0.6289,0.63628,0.67929,0.35289,1.6161,1.34069,1.78693,0.0006337,0.0006337,0.0006337
39,720.233,1.33763,1.30843,1.54654,0.59613,0.66647,0.6659,0.32718,1.68909,1.40049,1.79448,0.0006238,0.0006238,0.0006238
40,738.539,1.34143,1.27982,1.53506,0.59033,0.67483,0.66747,0.35041,1.62133,1.36353,1.77988,0.0006139,0.0006139,0.0006139
41,756.553,1.3243,1.28815,1.53059,0.5898,0.65896,0.66081,0.3213,1.69531,1.40286,1.85832,0.000604,0.000604,0.000604
42,774.624,1.32838,1.26863,1.52708,0.59878,0.64313,0.66419,0.33396,1.69718,1.376,1.84866,0.0005941,0.0005941,0.0005941
43,793.486,1.32524,1.29003,1.52383,0.56209,0.6383,0.62625,0.31076,1.70096,1.40875,1.84016,0.0005842,0.0005842,0.0005842
44,811.7,1.31856,1.27912,1.51064,0.56552,0.68254,0.66287,0.34896,1.62688,1.33633,1.81189,0.0005743,0.0005743,0.0005743
45,830.204,1.29973,1.23745,1.49788,0.71882,0.64053,0.70975,0.36853,1.59317,1.28654,1.75989,0.0005644,0.0005644,0.0005644
46,848.761,1.31373,1.23894,1.51285,0.66767,0.6502,0.71628,0.36556,1.59349,1.29127,1.76454,0.0005545,0.0005545,0.0005545
47,867.37,1.31434,1.23924,1.51356,0.59537,0.68548,0.6724,0.34682,1.61093,1.29335,1.76596,0.0005446,0.0005446,0.0005446
48,885.369,1.30231,1.2372,1.5119,0.72493,0.58928,0.70135,0.36903,1.61287,1.29212,1.78263,0.0005347,0.0005347,0.0005347
49,903.958,1.32053,1.23454,1.5151,0.61581,0.64062,0.66181,0.3223,1.73462,1.34905,1.84544,0.0005248,0.0005248,0.0005248
50,922.173,1.29495,1.22809,1.50469,0.58869,0.66024,0.68766,0.3521,1.61759,1.31294,1.77663,0.0005149,0.0005149,0.0005149
51,940.58,1.29551,1.20809,1.48557,0.57346,0.7237,0.69429,0.35793,1.64867,1.2617,1.81306,0.000505,0.000505,0.000505
52,958.831,1.28239,1.21759,1.49507,0.61475,0.69756,0.68246,0.35021,1.6537,1.30074,1.79007,0.0004951,0.0004951,0.0004951
53,977.366,1.28063,1.18988,1.48835,0.64041,0.68023,0.69101,0.3598,1.64813,1.28316,1.8008,0.0004852,0.0004852,0.0004852
