epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6476,1.94006,3.35717,2.01807,0.3139,0.28199,0.23791,0.09618,2.07614,2.65768,2.09086,0.00032963,0.00032963,0.00032963
2,22.3997,1.76157,2.56453,1.84139,0.65624,0.27878,0.27405,0.11466,2.10737,3.53791,2.38926,0.0006564,0.0006564,0.0006564
3,32.7597,1.74946,2.38181,1.81868,0.45242,0.4381,0.35847,0.15342,2.07163,2.90819,2.15603,0.00097657,0.00097657,0.00097657
4,43.1741,1.74085,2.26052,1.80393,0.56819,0.35948,0.35718,0.15239,1.96909,2.61318,2.01391,0.0009703,0.0009703,0.0009703
5,53.5661,1.73343,2.1909,1.81584,0.76122,0.40071,0.48039,0.21938,1.80401,2.31892,2.02077,0.0009604,0.0009604,0.0009604
6,63.9691,1.71087,2.05541,1.78666,0.54218,0.33863,0.33556,0.14833,2.21882,2.23581,2.11437,0.0009505,0.0009505,0.0009505
7,74.453,1.67271,1.95918,1.75509,0.48825,0.58557,0.50688,0.22613,1.80445,2.37456,1.89099,0.0009406,0.0009406,0.0009406
8,84.7927,1.63945,1.92004,1.7493,0.66345,0.42988,0.48741,0.21905,1.82271,2.03426,1.92568,0.0009307,0.0009307,0.0009307
9,95.1824,1.62724,1.8268,1.71508,0.56905,0.53939,0.57959,0.27022,1.74134,1.77779,1.87734,0.0009208,0.0009208,0.0009208
10,105.567,1.59831,1.78216,1.67993,0.70654,0.49073,0.54302,0.2529,1.84351,1.79638,1.87805,0.0009109,0.0009109,0.0009109
11,115.911,1.60239,1.76357,1.69133,0.73696,0.49611,0.59433,0.29001,1.80405,1.68019,1.83201,0.000901,0.000901,0.000901
12,126.302,1.58393,1.71314,1.68236,0.48011,0.56815,0.55955,0.26606,1.82147,1.76256,1.83076,0.0008911,0.0008911,0.0008911
13,136.753,1.56259,1.7235,1.66491,0.757,0.47452,0.58015,0.28008,1.79203,1.65142,1.86194,0.0008812,0.0008812,0.0008812
14,147.212,1.55978,1.68792,1.66297,0.50391,0.6222,0.61248,0.29387,1.72975,1.64153,1.79385,0.0008713,0.0008713,0.0008713
15,157.761,1.53667,1.64471,1.64713,0.52523,0.59719,0.58599,0.28991,1.76047,1.70154,1.80918,0.0008614,0.0008614,0.0008614
16,168.216,1.5335,1.6561,1.65409,0.73364,0.52334,0.60829,0.31045,1.73998,1.59618,1.80141,0.0008515,0.0008515,0.0008515
17,178.791,1.54948,1.62551,1.65586,0.42569,0.61642,0.55432,0.27236,1.74646,1.86507,1.79865,0.0008416,0.0008416,0.0008416
18,189.292,1.5219,1.62299,1.6297,0.77876,0.50568,0.63118,0.3064,1.68697,1.67584,1.7355,0.0008317,0.0008317,0.0008317
19,199.815,1.51314,1.58575,1.6248,0.53502,0.59757,0.61253,0.30735,1.73084,1.61957,1.75454,0.0008218,0.0008218,0.0008218
20,210.345,1.51564,1.5952,1.64456,0.67332,0.55086,0.61478,0.29382,1.77845,1.60269,1.7917,0.0008119,0.0008119,0.0008119
21,220.795,1.50991,1.58838,1.63349,0.61354,0.64782,0.67272,0.33694,1.68739,1.48715,1.72607,0.000802,0.000802,0.000802
