epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9449,1.91401,3.29289,1.97713,0.27076,0.33181,0.21996,0.08089,2.20562,2.65998,2.1502,0.00032963,0.00032963,0.00032963
2,61.5,1.72391,2.45617,1.80209,0.39406,0.38334,0.33496,0.13983,1.99398,2.68727,2.25972,0.000649836,0.000649836,0.000649836
3,72.0448,1.72988,2.25126,1.78699,0.45892,0.28582,0.23974,0.08409,2.16141,2.77168,2.22087,0.000956843,0.000956843,0.000956843
4,82.3631,1.68444,2.12609,1.75943,0.39308,0.52047,0.41459,0.17678,1.92283,2.04766,2.01592,0.0009406,0.0009406,0.0009406
5,92.9172,1.64145,2.06274,1.71428,0.64465,0.42391,0.43596,0.17779,2.01621,2.11088,2.05514,0.0009208,0.0009208,0.0009208
6,103.316,1.61864,1.95116,1.69436,0.57474,0.35522,0.32399,0.12807,2.16126,2.24575,2.08635,0.000901,0.000901,0.000901
7,113.724,1.58201,1.86229,1.6577,0.62129,0.40809,0.41249,0.16533,1.97871,2.18548,1.94497,0.0008812,0.0008812,0.0008812
8,124.075,1.60927,1.84068,1.67191,0.5432,0.4793,0.48791,0.22655,1.81531,1.89134,1.88325,0.0008614,0.0008614,0.0008614
9,134.556,1.55115,1.79505,1.65692,0.57009,0.48849,0.54081,0.26463,1.73587,1.77721,1.79969,0.0008416,0.0008416,0.0008416
10,145.083,1.53907,1.74583,1.63349,0.66701,0.54953,0.60716,0.28709,1.72475,1.70987,1.82338,0.0008218,0.0008218,0.0008218
11,155.564,1.51511,1.73318,1.62702,0.77561,0.46596,0.58145,0.2819,1.72433,1.70709,1.78667,0.000802,0.000802,0.000802
12,166.025,1.51476,1.68712,1.61648,0.61502,0.48164,0.54436,0.27039,1.73649,1.77324,1.81022,0.0007822,0.0007822,0.0007822
