epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2752,2.01663,3.59288,2.16095,0.27833,0.30849,0.26002,0.0853,2.23906,2.65376,2.46089,0.00032963,0.00032963,0.00032963
2,37.3226,1.81586,2.76548,1.96829,0.64113,0.32972,0.30303,0.11765,2.10251,2.84077,2.36211,0.000659681,0.000659681,0.000659681
3,55.2664,1.78959,2.55227,1.95686,0.45817,0.37836,0.31879,0.13476,2.09379,3.24057,2.30793,0.000986433,0.000986433,0.000986433
4,73.0639,1.76736,2.34379,1.91289,0.28478,0.42649,0.33274,0.12011,2.14779,2.87198,2.27627,0.00098515,0.00098515,0.00098515
5,90.9686,1.77175,2.26279,1.93329,0.67899,0.34535,0.41146,0.16766,1.90815,2.23786,2.15332,0.0009802,0.0009802,0.0009802
6,108.725,1.71474,2.14137,1.87735,0.63103,0.42881,0.4711,0.20401,1.86002,2.17026,2.10774,0.00097525,0.00097525,0.00097525
7,126.478,1.68677,1.98782,1.85239,0.58854,0.38549,0.40616,0.17764,1.94702,2.76926,2.16172,0.0009703,0.0009703,0.0009703
8,144.07,1.66897,1.94097,1.85267,0.6686,0.41529,0.4984,0.21375,1.93417,1.96809,2.13702,0.00096535,0.00096535,0.00096535
9,161.957,1.6433,1.8664,1.80935,0.81504,0.42299,0.53816,0.2405,1.81105,1.88301,2.07701,0.0009604,0.0009604,0.0009604
10,179.729,1.63103,1.82746,1.795,0.62916,0.49234,0.52925,0.22858,1.87797,1.94434,2.06159,0.00095545,0.00095545,0.00095545
11,197.421,1.63548,1.81824,1.80593,0.42205,0.56792,0.50387,0.2318,1.7891,1.98017,2.00865,0.0009505,0.0009505,0.0009505
12,215.028,1.61087,1.74001,1.79775,0.59104,0.55792,0.58938,0.27396,1.75807,1.73797,1.9905,0.00094555,0.00094555,0.00094555
13,232.855,1.60101,1.743,1.755,0.66315,0.52579,0.59383,0.28148,1.76856,1.74449,2.00393,0.0009406,0.0009406,0.0009406
14,250.652,1.58516,1.71166,1.7564,0.61101,0.57644,0.60563,0.29664,1.76507,1.7132,1.97025,0.00093565,0.00093565,0.00093565
15,268.539,1.56645,1.68432,1.74327,0.43751,0.55783,0.51789,0.22469,1.83209,1.90415,2.02901,0.0009307,0.0009307,0.0009307
16,286.102,1.55575,1.69311,1.74147,0.71357,0.57471,0.6293,0.29857,1.73553,1.58828,1.96805,0.00092575,0.00092575,0.00092575
17,304.067,1.56743,1.64406,1.74667,0.5227,0.58188,0.58841,0.2726,1.74198,1.74408,1.96736,0.0009208,0.0009208,0.0009208
18,321.849,1.5657,1.63663,1.72969,0.67299,0.56011,0.59836,0.27081,1.7674,1.72943,1.99208,0.00091585,0.00091585,0.00091585
19,339.506,1.55048,1.64348,1.73331,0.49277,0.56668,0.54678,0.26489,1.791,1.75588,1.97896,0.0009109,0.0009109,0.0009109
20,357.446,1.54229,1.61518,1.73709,0.70572,0.52228,0.6239,0.28156,1.77871,1.67478,1.96437,0.00090595,0.00090595,0.00090595
21,375.202,1.56055,1.63647,1.74532,0.74073,0.53681,0.63696,0.29437,1.70279,1.60259,1.93194,0.000901,0.000901,0.000901
22,393.002,1.52673,1.61415,1.70568,0.5657,0.61024,0.63612,0.32184,1.67447,1.55025,1.89112,0.00089605,0.00089605,0.00089605
23,410.918,1.52392,1.55961,1.69998,0.56968,0.62994,0.63031,0.30317,1.74168,1.6409,1.98331,0.0008911,0.0008911,0.0008911
24,428.625,1.49996,1.54915,1.68765,0.5108,0.5515,0.57938,0.26251,1.8305,1.74171,2.06664,0.00088615,0.00088615,0.00088615
25,446.461,1.53104,1.54846,1.71322,0.7442,0.56188,0.63603,0.31742,1.66729,1.55168,1.90215,0.0008812,0.0008812,0.0008812
26,464.15,1.4931,1.54151,1.67693,0.73274,0.52894,0.61466,0.29724,1.7,1.65739,1.93768,0.00087625,0.00087625,0.00087625
27,481.904,1.4854,1.52015,1.67901,0.65298,0.5716,0.63725,0.30949,1.74994,1.57716,1.93497,0.0008713,0.0008713,0.0008713
28,499.594,1.51937,1.52569,1.69934,0.56058,0.58943,0.62444,0.3004,1.7143,1.60019,1.9917,0.00086635,0.00086635,0.00086635
29,517.542,1.47421,1.48589,1.65128,0.61879,0.58258,0.62216,0.30561,1.71837,1.63071,1.915,0.0008614,0.0008614,0.0008614
30,535.381,1.48528,1.50611,1.6944,0.56443,0.54916,0.59016,0.29512,1.71432,1.58574,1.95627,0.00085645,0.00085645,0.00085645
31,553.201,1.48559,1.50296,1.69515,0.571,0.62863,0.67356,0.34054,1.66044,1.54738,1.90561,0.0008515,0.0008515,0.0008515
32,570.907,1.47638,1.45842,1.66291,0.56967,0.67087,0.66832,0.33577,1.65508,1.46721,1.92116,0.00084655,0.00084655,0.00084655
33,588.774,1.45673,1.47093,1.66533,0.56215,0.6266,0.64477,0.32983,1.65728,1.55673,1.88397,0.0008416,0.0008416,0.0008416
34,606.418,1.45976,1.50171,1.6555,0.68968,0.51756,0.56106,0.25517,1.92197,1.6597,2.03924,0.00083665,0.00083665,0.00083665
35,623.983,1.45804,1.45194,1.64469,0.52589,0.62741,0.63334,0.31175,1.67534,1.5385,1.89342,0.0008317,0.0008317,0.0008317
36,641.598,1.4398,1.44776,1.62977,0.70392,0.5998,0.67203,0.32885,1.65622,1.52247,1.88784,0.00082675,0.00082675,0.00082675
37,659.51,1.44669,1.45263,1.64492,0.56621,0.6585,0.68173,0.345,1.63496,1.45256,1.84535,0.0008218,0.0008218,0.0008218
38,677.205,1.43288,1.43799,1.63897,0.55621,0.54725,0.56958,0.27973,1.7386,1.65908,1.92478,0.00081685,0.00081685,0.00081685
39,694.875,1.44977,1.43175,1.66255,0.5427,0.63785,0.64189,0.33649,1.64676,1.53105,1.84403,0.0008119,0.0008119,0.0008119
40,712.507,1.44832,1.41216,1.65018,0.56984,0.65388,0.65601,0.33108,1.67037,1.51744,1.93059,0.00080695,0.00080695,0.00080695
41,730.426,1.43088,1.39701,1.63286,0.68189,0.61017,0.67078,0.33448,1.66815,1.52842,1.89495,0.000802,0.000802,0.000802
42,748.193,1.43006,1.39473,1.62657,0.56074,0.58999,0.6175,0.3183,1.70273,1.55642,1.90382,0.00079705,0.00079705,0.00079705
43,765.946,1.4398,1.40056,1.64009,0.77396,0.57209,0.67318,0.33732,1.64391,1.48842,1.88769,0.0007921,0.0007921,0.0007921
44,783.788,1.41318,1.38592,1.61471,0.56294,0.62687,0.62156,0.32018,1.7076,1.52164,1.90172,0.00078715,0.00078715,0.00078715
45,801.565,1.43298,1.40556,1.629,0.60616,0.63795,0.67451,0.34302,1.63918,1.47193,1.88876,0.0007822,0.0007822,0.0007822
46,819.187,1.41171,1.37542,1.62615,0.62337,0.66029,0.68311,0.35839,1.62033,1.43202,1.85679,0.00077725,0.00077725,0.00077725
47,836.919,1.39755,1.33912,1.61004,0.58131,0.66768,0.64872,0.32778,1.64069,1.50404,1.87576,0.0007723,0.0007723,0.0007723
48,854.792,1.39211,1.35713,1.61984,0.61005,0.66987,0.69465,0.33977,1.69039,1.4439,1.90727,0.00076735,0.00076735,0.00076735
49,872.525,1.39936,1.34236,1.61842,0.62444,0.6579,0.67583,0.34503,1.58955,1.47891,1.83667,0.0007624,0.0007624,0.0007624
