epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4739,1.94006,3.35717,2.01807,0.3139,0.28199,0.23791,0.09618,2.07614,2.65768,2.09086,0.00032963,0.00032963,0.00032963
2,22.1183,1.757,2.55818,1.84103,0.64898,0.29933,0.31481,0.1454,2.2104,2.96687,2.37343,0.000649836,0.000649836,0.000649836
3,32.5609,1.76872,2.4142,1.85453,0.49493,0.32312,0.23256,0.0911,2.12403,2.97763,2.14677,0.000956843,0.000956843,0.000956843
4,43.0186,1.73637,2.23075,1.80403,0.28761,0.47442,0.35779,0.15064,1.98872,3.01917,2.11747,0.0009406,0.0009406,0.0009406
5,53.5537,1.71044,2.17574,1.79302,0.53094,0.36346,0.38877,0.17906,1.94431,2.65956,2.04328,0.0009208,0.0009208,0.0009208
6,63.9735,1.68295,2.0422,1.78008,0.65595,0.44333,0.52429,0.25049,1.80807,1.84392,1.86537,0.000901,0.000901,0.000901
7,74.4929,1.65282,1.95164,1.74672,0.57987,0.53392,0.54674,0.26108,1.84399,1.90422,1.8918,0.0008812,0.0008812,0.0008812
8,84.9402,1.63378,1.8938,1.73493,0.6294,0.49784,0.54308,0.25302,1.84642,1.81091,1.86026,0.0008614,0.0008614,0.0008614
9,95.4317,1.60541,1.79973,1.70505,0.51132,0.57764,0.56424,0.26969,1.75231,1.87477,1.89907,0.0008416,0.0008416,0.0008416
10,106.01,1.58935,1.77828,1.68663,0.64859,0.55159,0.56433,0.27426,1.72832,1.71015,1.81665,0.0008218,0.0008218,0.0008218
11,116.453,1.58715,1.76283,1.68809,0.66979,0.54686,0.60219,0.28085,1.77862,1.7074,1.79521,0.000802,0.000802,0.000802
12,126.845,1.56534,1.69829,1.66859,0.48067,0.53049,0.51802,0.234,1.91115,1.94336,1.91389,0.0007822,0.0007822,0.0007822
13,137.209,1.54978,1.68077,1.64661,0.74674,0.53844,0.61753,0.29458,1.73254,1.60812,1.78805,0.0007624,0.0007624,0.0007624
14,147.619,1.55075,1.66775,1.64509,0.55842,0.61149,0.61148,0.30523,1.73823,1.59518,1.78309,0.0007426,0.0007426,0.0007426
15,158.084,1.52558,1.62883,1.63732,0.56458,0.61884,0.6288,0.30847,1.73895,1.59563,1.77264,0.0007228,0.0007228,0.0007228
16,168.56,1.5021,1.62848,1.6243,0.54924,0.64287,0.64874,0.33308,1.62207,1.50642,1.72453,0.000703,0.000703,0.000703
17,179.124,1.5245,1.59032,1.62544,0.56865,0.61816,0.62776,0.30654,1.69682,1.56232,1.75634,0.0006832,0.0006832,0.0006832
18,189.581,1.50091,1.58826,1.6095,0.7657,0.54766,0.66082,0.32585,1.62228,1.57848,1.69727,0.0006634,0.0006634,0.0006634
19,199.957,1.49217,1.56996,1.60774,0.59772,0.61968,0.66729,0.34429,1.64179,1.4768,1.69576,0.0006436,0.0006436,0.0006436
20,210.378,1.46735,1.54158,1.60759,0.68502,0.55787,0.62789,0.32028,1.6562,1.5148,1.73755,0.0006238,0.0006238,0.0006238
21,220.747,1.47705,1.55648,1.61949,0.552,0.66726,0.65782,0.33079,1.67507,1.52537,1.75552,0.000604,0.000604,0.000604
22,231.179,1.46861,1.52316,1.58923,0.54514,0.65796,0.66966,0.35922,1.57892,1.43574,1.67037,0.0005842,0.0005842,0.0005842
23,241.577,1.45549,1.50078,1.59304,0.55941,0.64984,0.67271,0.3529,1.57918,1.47826,1.68214,0.0005644,0.0005644,0.0005644
24,252.044,1.42335,1.45934,1.5639,0.60977,0.6696,0.68645,0.35315,1.66787,1.4119,1.70993,0.0005446,0.0005446,0.0005446
25,262.533,1.45154,1.46184,1.57757,0.64998,0.57411,0.64862,0.32726,1.6693,1.47115,1.68162,0.0005248,0.0005248,0.0005248
26,273.039,1.43436,1.43054,1.5498,0.60712,0.66223,0.66535,0.35382,1.59402,1.44214,1.71257,0.000505,0.000505,0.000505
27,283.556,1.39792,1.43397,1.54308,0.70607,0.60344,0.67143,0.34816,1.66789,1.41233,1.70094,0.0004852,0.0004852,0.0004852
28,294.102,1.42864,1.43152,1.57116,0.60169,0.65396,0.67203,0.35143,1.64216,1.42378,1.73879,0.0004654,0.0004654,0.0004654
29,304.664,1.39859,1.37282,1.52853,0.61151,0.65193,0.66621,0.34348,1.65123,1.41947,1.69607,0.0004456,0.0004456,0.0004456
30,315.222,1.41128,1.39255,1.55926,0.63258,0.6681,0.70659,0.3692,1.57797,1.41994,1.66971,0.0004258,0.0004258,0.0004258
31,325.791,1.39623,1.37085,1.53875,0.61404,0.65633,0.66437,0.35029,1.63976,1.41508,1.72891,0.000406,0.000406,0.000406
32,336.316,1.37324,1.34562,1.51555,0.56009,0.68667,0.6785,0.36915,1.56567,1.36652,1.67453,0.0003862,0.0003862,0.0003862
33,346.851,1.36878,1.32782,1.52351,0.57679,0.67938,0.68807,0.36614,1.60799,1.32787,1.68693,0.0003664,0.0003664,0.0003664
34,357.468,1.36651,1.34209,1.51337,0.5686,0.65552,0.65441,0.34252,1.67439,1.40908,1.73654,0.0003466,0.0003466,0.0003466
35,368.009,1.35431,1.30994,1.5029,0.62211,0.68554,0.70141,0.37296,1.57155,1.35551,1.66013,0.0003268,0.0003268,0.0003268
36,378.608,1.3366,1.29218,1.49227,0.6389,0.69958,0.71616,0.38522,1.5466,1.32915,1.64584,0.000307,0.000307,0.000307
37,389.068,1.32996,1.28847,1.48773,0.60395,0.69672,0.70907,0.38129,1.55883,1.3289,1.62547,0.0002872,0.0002872,0.0002872
38,399.531,1.33058,1.2858,1.48737,0.55466,0.71558,0.68412,0.36824,1.59901,1.37536,1.66033,0.0002674,0.0002674,0.0002674
39,410.072,1.312,1.2525,1.4922,0.65422,0.69103,0.71649,0.38592,1.58287,1.30835,1.65507,0.0002476,0.0002476,0.0002476
40,420.585,1.32406,1.24744,1.48927,0.68118,0.70645,0.74416,0.3976,1.54866,1.28418,1.62797,0.0002278,0.0002278,0.0002278
41,438.499,1.31179,1.19801,1.51109,0.65184,0.66124,0.71277,0.38949,1.53,1.29329,1.60875,0.000208,0.000208,0.000208
42,448.992,1.27011,1.15455,1.47642,0.64975,0.70714,0.73347,0.3997,1.54378,1.26602,1.62931,0.0001882,0.0001882,0.0001882
43,459.5,1.26301,1.1302,1.46476,0.65332,0.70684,0.72228,0.38875,1.54968,1.29583,1.62362,0.0001684,0.0001684,0.0001684
44,469.924,1.2643,1.10551,1.46687,0.63793,0.6941,0.73295,0.4036,1.51392,1.25617,1.61057,0.0001486,0.0001486,0.0001486
45,480.362,1.24744,1.10348,1.4645,0.65418,0.69678,0.73895,0.40279,1.54912,1.26303,1.62249,0.0001288,0.0001288,0.0001288
