epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4345,1.96762,3.56767,2.08497,0.00858,0.58772,0.15929,0.04802,2.46058,3.2118,2.41082,0.000325926,0.000325926,0.000325926
2,37.7012,1.68929,2.49566,1.84413,0.48996,0.35424,0.32642,0.11641,2.03606,2.39526,2.2027,0.000646206,0.000646206,0.000646206
3,55.5079,1.64399,2.29548,1.79142,0.423,0.33384,0.23486,0.08352,2.41783,2.82267,2.50983,0.000953286,0.000953286,0.000953286
4,73.7864,1.65753,2.17763,1.79817,0.21193,0.32667,0.18545,0.06105,2.1458,3.4577,2.37652,0.0009406,0.0009406,0.0009406
5,91.663,1.65931,2.08389,1.79045,0.25085,0.32471,0.27626,0.1015,2.38859,2.77875,2.48622,0.0009208,0.0009208,0.0009208
6,110.275,1.61828,1.98358,1.77425,0.43603,0.44912,0.41732,0.17119,1.97481,2.95645,2.16134,0.000901,0.000901,0.000901
7,128.356,1.58591,1.89862,1.73498,0.42084,0.45331,0.4394,0.17726,2.01859,1.9097,2.08197,0.0008812,0.0008812,0.0008812
8,146.451,1.58736,1.80925,1.72477,0.44315,0.54785,0.4859,0.1952,1.98292,2.11209,2.0728,0.0008614,0.0008614,0.0008614
9,164.859,1.55094,1.76827,1.7075,0.68766,0.39949,0.48269,0.19898,1.87197,1.9927,2.0638,0.0008416,0.0008416,0.0008416
10,183.167,1.56807,1.74063,1.72045,0.62017,0.43597,0.47148,0.20491,1.9498,1.96095,2.00021,0.0008218,0.0008218,0.0008218
11,201.193,1.52791,1.7251,1.703,0.5929,0.47286,0.50072,0.21282,1.90356,1.95948,2.07903,0.000802,0.000802,0.000802
12,219.887,1.49787,1.66127,1.66953,0.52061,0.56766,0.54395,0.2304,1.87018,1.7431,2.01198,0.0007822,0.0007822,0.0007822
13,238.247,1.49837,1.65326,1.66509,0.65667,0.46751,0.52574,0.24116,1.89373,1.72952,1.98815,0.0007624,0.0007624,0.0007624
14,256.607,1.48161,1.61209,1.65729,0.58634,0.50224,0.55982,0.26406,1.79469,1.64737,1.95382,0.0007426,0.0007426,0.0007426
15,274.978,1.4992,1.59164,1.65749,0.46427,0.56586,0.52925,0.22565,1.9388,1.83612,2.0207,0.0007228,0.0007228,0.0007228
16,293.561,1.4748,1.54884,1.6407,0.55166,0.54567,0.6144,0.28383,1.72428,1.64653,1.89258,0.000703,0.000703,0.000703
17,312.625,1.45731,1.52784,1.63201,0.5606,0.57707,0.60862,0.29514,1.70538,1.57298,1.88963,0.0006832,0.0006832,0.0006832
18,330.772,1.43586,1.52672,1.62347,0.72065,0.4961,0.57082,0.27177,1.77949,1.63561,1.91594,0.0006634,0.0006634,0.0006634
19,349.145,1.45777,1.52179,1.62767,0.60526,0.59294,0.63265,0.30233,1.67791,1.57002,1.84712,0.0006436,0.0006436,0.0006436
20,368.042,1.4367,1.50271,1.62276,0.59765,0.62524,0.65159,0.32864,1.6266,1.48899,1.80215,0.0006238,0.0006238,0.0006238
21,386.647,1.40788,1.48627,1.60098,0.61726,0.6511,0.64481,0.31294,1.68597,1.57115,1.88479,0.000604,0.000604,0.000604
