epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8249,1.88917,3.07814,2.02759,0.75365,0.12659,0.11483,0.04198,2.46939,4.19023,2.88943,0.00032963,0.00032963,0.0673667
2,33.7189,1.74206,2.19284,1.87942,0.4006,0.26709,0.19416,0.06445,2.45701,3.7414,2.64321,0.0006564,0.0006564,0.0343601
3,49.3031,1.71711,2.07488,1.85737,0.54129,0.29836,0.31393,0.12349,2.0589,2.92056,2.39875,0.00097657,0.00097657,0.00134694
4,64.9077,1.68154,2.00063,1.84789,0.26568,0.42662,0.29598,0.11401,2.17103,2.55006,2.37794,0.0009703,0.0009703,0.0009703
5,80.5002,1.6588,1.92957,1.81476,0.76836,0.32012,0.44167,0.18563,1.86962,2.36747,2.20507,0.0009604,0.0009604,0.0009604
6,96.0346,1.64814,1.89829,1.80579,0.56227,0.43985,0.44491,0.19,1.91116,2.13801,2.17295,0.0009505,0.0009505,0.0009505
7,111.68,1.60046,1.82009,1.75361,0.56691,0.4766,0.47974,0.19592,1.89278,2.16115,2.09466,0.0009406,0.0009406,0.0009406
8,127.274,1.62558,1.81572,1.77496,0.63893,0.4807,0.48164,0.21084,1.89137,1.952,2.09687,0.0009307,0.0009307,0.0009307
9,142.942,1.57671,1.77583,1.75177,0.63796,0.44257,0.45632,0.19531,2.00127,2.0185,2.10463,0.0009208,0.0009208,0.0009208
10,158.519,1.57235,1.71213,1.73525,0.54967,0.62109,0.61368,0.28471,1.77498,1.72662,2.03466,0.0009109,0.0009109,0.0009109
11,174.058,1.55131,1.71871,1.71677,0.70228,0.52395,0.58072,0.25836,1.82937,1.84031,2.03594,0.000901,0.000901,0.000901
12,189.58,1.5533,1.69926,1.71659,0.53554,0.57689,0.57424,0.26669,1.82594,1.87048,2.04852,0.0008911,0.0008911,0.0008911
