epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9736,1.88917,3.07814,2.02759,0.75365,0.12659,0.11483,0.04198,2.46939,4.19023,2.88943,0.00032963,0.00032963,0.0673667
2,36.4643,1.74842,2.21007,1.89075,0.67598,0.17131,0.15667,0.05182,2.5645,3.93287,2.62489,0.000649836,0.000649836,0.0343535
3,51.9688,1.70476,2.06083,1.85704,0.48192,0.47961,0.39893,0.13691,2.1307,2.51246,2.40584,0.000956843,0.000956843,0.00132721
4,67.6456,1.67291,1.95855,1.83351,0.39419,0.47175,0.41759,0.17977,1.86216,2.18747,2.10894,0.0009406,0.0009406,0.0009406
5,83.1739,1.67198,1.92681,1.80719,0.70889,0.39187,0.44466,0.18141,1.91642,2.13149,2.16562,0.0009208,0.0009208,0.0009208
6,98.6628,1.63257,1.89031,1.78646,0.67628,0.39457,0.39165,0.17018,2.21445,2.19127,2.277,0.000901,0.000901,0.000901
7,114.169,1.57945,1.78305,1.74228,0.54973,0.47589,0.456,0.19643,1.93612,2.0486,2.10367,0.0008812,0.0008812,0.0008812
8,129.735,1.6319,1.79046,1.77082,0.62685,0.44255,0.44423,0.17659,2.076,1.92614,2.17241,0.0008614,0.0008614,0.0008614
9,145.289,1.56659,1.74132,1.72979,0.44551,0.47736,0.46685,0.18229,2.00903,2.18537,2.19299,0.0008416,0.0008416,0.0008416
10,160.899,1.57076,1.73751,1.72392,0.53697,0.59287,0.58542,0.27161,1.78206,1.83949,2.02247,0.0008218,0.0008218,0.0008218
11,176.424,1.54321,1.71224,1.69756,0.8209,0.38,0.53975,0.24656,1.80705,1.85197,2.00317,0.000802,0.000802,0.000802
12,192.026,1.53566,1.65282,1.69421,0.46756,0.6321,0.57255,0.25893,1.80933,1.80278,2.02425,0.0007822,0.0007822,0.0007822
13,207.594,1.53596,1.6558,1.69099,0.70987,0.50058,0.56059,0.26228,1.76393,1.80226,1.98358,0.0007624,0.0007624,0.0007624
14,223.183,1.5104,1.63407,1.67524,0.68477,0.52229,0.55085,0.27463,1.72957,1.79002,1.97222,0.0007426,0.0007426,0.0007426
15,238.837,1.50895,1.64554,1.67559,0.53461,0.56294,0.57531,0.25543,1.83432,1.70626,2.05238,0.0007228,0.0007228,0.0007228
16,254.445,1.48459,1.58024,1.6503,0.59789,0.51068,0.55535,0.24571,1.84217,1.77765,1.99882,0.000703,0.000703,0.000703
