epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7169,2.01663,3.59288,2.16095,0.27833,0.30849,0.26002,0.0853,2.23906,2.65376,2.46089,0.00032963,0.00032963,0.00032963
2,32.6551,1.79149,2.75633,1.95474,0.53768,0.38671,0.35938,0.15112,1.99724,2.44191,2.25782,0.0006564,0.0006564,0.0006564
3,48.1943,1.78232,2.5318,1.93059,0.71694,0.24787,0.30418,0.14407,1.99448,2.72749,2.15741,0.00097657,0.00097657,0.00097657
4,63.7472,1.77027,2.38272,1.93387,0.44475,0.42223,0.34236,0.12014,2.19625,2.49033,2.3632,0.0009703,0.0009703,0.0009703
5,79.2332,1.74573,2.26338,1.92034,0.66542,0.41599,0.41169,0.17396,1.97705,2.53835,2.18446,0.0009604,0.0009604,0.0009604
6,94.748,1.70981,2.13345,1.89555,0.60376,0.42892,0.42437,0.18776,2.00968,2.1872,2.15783,0.0009505,0.0009505,0.0009505
7,110.283,1.68335,1.98543,1.85024,0.63616,0.5025,0.52236,0.23111,1.80353,1.97845,2.05396,0.0009406,0.0009406,0.0009406
8,125.823,1.66464,1.92279,1.84742,0.63004,0.48787,0.52896,0.23098,1.89388,1.82966,2.06423,0.0009307,0.0009307,0.0009307
9,141.295,1.62553,1.85479,1.80058,0.50113,0.53981,0.55297,0.25596,1.79792,1.78084,1.98841,0.0009208,0.0009208,0.0009208
10,156.787,1.63885,1.82472,1.78763,0.63293,0.53112,0.56301,0.25762,1.77347,1.76638,2.00179,0.0009109,0.0009109,0.0009109
11,172.241,1.63254,1.80082,1.79149,0.74112,0.52582,0.60227,0.28375,1.72172,1.71973,1.94697,0.000901,0.000901,0.000901
12,187.729,1.59959,1.76165,1.7955,0.53098,0.54419,0.56767,0.25729,1.82439,1.77483,2.01562,0.0008911,0.0008911,0.0008911
13,203.317,1.59529,1.75183,1.76546,0.71143,0.50893,0.59682,0.27982,1.79107,1.69486,2.02528,0.0008812,0.0008812,0.0008812
14,218.793,1.59979,1.73033,1.76951,0.5974,0.60298,0.61021,0.28858,1.76394,1.70504,2.01534,0.0008713,0.0008713,0.0008713
15,234.365,1.54884,1.6874,1.73139,0.40651,0.56793,0.52815,0.23145,1.89359,1.81775,2.12525,0.0008614,0.0008614,0.0008614
16,249.881,1.57254,1.70428,1.75409,0.69698,0.48468,0.58246,0.26835,1.77566,1.71072,2.00939,0.0008515,0.0008515,0.0008515
17,265.621,1.56235,1.66808,1.74391,0.48284,0.53903,0.53956,0.2529,1.828,1.80605,2.01194,0.0008416,0.0008416,0.0008416
18,281.21,1.54863,1.61628,1.72214,0.7229,0.55297,0.6338,0.30889,1.71971,1.61311,1.9429,0.0008317,0.0008317,0.0008317
19,296.879,1.54904,1.63671,1.73045,0.57251,0.59454,0.63286,0.31543,1.66735,1.63592,1.91796,0.0008218,0.0008218,0.0008218
20,312.473,1.522,1.61078,1.73193,0.73781,0.54749,0.64845,0.32881,1.67455,1.58367,1.94364,0.0008119,0.0008119,0.0008119
21,328.024,1.55977,1.6375,1.74174,0.50896,0.62542,0.60569,0.27517,1.70526,1.65789,1.93923,0.000802,0.000802,0.000802
22,343.556,1.53766,1.61624,1.71539,0.50214,0.61391,0.60686,0.29477,1.71834,1.70045,1.94568,0.0007921,0.0007921,0.0007921
23,359.192,1.50893,1.58474,1.71291,0.59823,0.57692,0.61171,0.30029,1.67036,1.62518,1.91031,0.0007822,0.0007822,0.0007822
